Latitude,Longitude
38.0,-97.0
38.8951,-77.0364
61.385,-152.268
38.8951,-77.0364
60.0,-95.0
38.0,-97.0
60.0,-95.0
-27.0,133.0
53.0,-8.0
55.6667,12.5833
51.5,-0.116667
38.8951,-77.0364
38.0,-97.0
51.0,9.0
39.7392,-104.985
27.8333,-81.717
60.0,-95.0
29.7633,-95.3633
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
38.8951,-77.0364
61.385,-152.268
38.0,-97.0
42.1497,-74.9384
51.5,-0.116667
8.0,-66.0
38.8951,-77.0364
42.0046,-93.214
38.0,-97.0
42.0083,-91.6441
38.8951,-77.0364
42.0046,-93.214
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
42.1497,-74.9384
60.0,-95.0
10.5,-66.9167
36.0,138.0
8.0,-66.0
60.0,-95.0
38.8951,-77.0364
38.8951,-77.0364
42.1497,-74.9384
51.5,-0.116667
8.0,-66.0
38.0,-97.0
39.8647,-86.2604
44.6074,-69.3977
35.0,105.0
38.0,-97.0
60.0,-95.0
56.0,10.0
55.6667,12.5833
60.0,100.0
54.0,-2.0
38.0,-97.0
60.0,-95.0
25.0,45.0
54.0,-2.0
38.0,-97.0
30.7632,-98.4575
31.106,-97.6475
38.0,-97.0
32.0,-5.0
8.0,-66.0
42.1497,-74.9384
36.0,138.0
12.9833,77.5833
51.5,-0.116667
8.0,-66.0
40.2171,-74.7429
40.5726,-74.4927
40.314,-74.5089
38.0,-97.0
12.9833,77.5833
38.0,-97.0
38.8951,-77.0364
42.0046,-93.214
38.0,-97.0
42.1497,-74.9384
13.0,122.0
25.0,17.0
20.0,77.0
10.0,8.0
31.106,-97.6475
38.0,-97.0
44.2563,-89.6385
38.0,-97.0
60.0,-95.0
38.0,-97.0
37.5664,127.0
22.2,111.117
35.0,105.0
39.9289,116.388
22.2614,113.941
25.0478,121.532
22.25,114.167
1.3667,103.8
54.0,-2.0
39.0646,-105.327
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
60.0,-95.0
31.106,-97.6475
38.0,-97.0
39.8647,-86.2604
38.0,-97.0
38.0,-97.0
39.5,-8.0
60.0,-95.0
25.0,17.0
10.0,8.0
60.0,100.0
31.106,-97.6475
15.0,-86.5
60.0,-95.0
-34.0,-64.0
-17.0,-65.0
-10.0,-55.0
4.0,-72.0
15.5,-90.25
13.0,-85.0
16.5167,-85.8833
38.0,-97.0
-23.0,-58.0
10.0,-84.0
-2.0,-77.5
13.8333,-88.9167
-30.0,-71.0
-10.0,-76.0
9.0,-80.0
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
-37.5627,143.863
-27.0,133.0
-18.6167,143.733
-37.8167,144.967
-37.3,141.683
-37.2333,141.65
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
-41.3,174.783
38.0,-97.0
38.9122,121.602
39.0194,125.755
32.0,53.0
38.8951,-77.0364
38.8951,-77.0364
35.0,105.0
39.9289,116.388
40.0,127.0
37.0,127.5
40.1292,124.395
38.0,-97.0
42.1497,-74.9384
60.0,-95.0
10.5,-66.9167
8.0,-66.0
38.0,-97.0
42.1497,-74.9384
51.5,-0.116667
8.0,-66.0
38.8951,-77.0364
38.8951,-77.0364
35.0,105.0
42.3584,-71.0598
59.0,26.0
-34.0,-64.0
42.2373,-71.5314
38.0,-97.0
60.0,-95.0
4.0,-72.0
8.0,-66.0
38.8951,-77.0364
38.8951,-77.0364
42.0046,-93.214
38.0,-97.0
42.2373,-71.5314
38.8951,-77.0364
38.0,-97.0
27.8333,-81.717
38.0,-97.0
60.0,-95.0
38.8951,-77.0364
38.0,-97.0
42.1497,-74.9384
60.0,-95.0
36.0,138.0
8.0,-66.0
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
60.0,-95.0
52.5,5.75
38.0,-97.0
23.0,-102.0
18.2359,-66.4838
60.0,-95.0
39.0646,-105.327
38.0,-97.0
60.0,-95.0
38.8951,-77.0364
35.0,105.0
39.9289,116.388
42.1497,-74.9384
28.3724,-16.7119
40.0,-4.0
42.1497,-74.9384
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
25.5,51.25
49.2587,24.6278
-27.0,133.0
42.8731,74.6003
61.8667,-72.05
53.0,28.0
47.0,29.0
35.0,38.0
52.5,5.75
53.9,27.5667
38.8723,-77.0164
40.0,-4.0
41.85,-87.6501
50.75,-1.13333
55.7522,37.6156
60.0,-95.0
53.55,10.0
35.8333,14.5833
51.0,9.0
50.4333,30.5167
38.8951,-77.0364
38.8951,-77.0364
49.75,6.1667
55.7522,37.6156
50.8333,4.33333
35.95,39.0167
33.0,44.0
38.8634,-77.0169
25.0,45.0
47.8667,88.1167
40.0,127.0
46.0,2.0
48.5,38.5
46.6558,32.6178
48.8667,2.33333
39.0,35.0
35.0,105.0
39.9289,116.388
39.5,-8.0
60.0,100.0
50.3527,30.955
49.0,32.0
20.0,77.0
38.8862,-77.025
56.0333,-3.43333
33.421,-82.1621
53.0,-8.0
37.0,127.5
47.0,8.0
39.0,22.0
42.1497,-74.9384
32.9866,-83.6487
41.0,75.0
32.0,53.0
31.106,-97.6475
48.5,38.5
27.8333,-81.717
23.5,121.0
54.0,-2.0
50.85,5.68333
38.0,-97.0
51.013,40.0986
50.4333,30.5167
55.0411,82.9344
46.0,25.0
42.8333,12.8333
8.0,-66.0
38.0,-97.0
35.0,105.0
22.25,114.167
48.8667,2.33333
38.8951,-77.0364
38.8951,-77.0364
1.3667,103.8
35.0,105.0
60.0,-95.0
25.0,45.0
25.0,17.0
10.0,8.0
31.106,-97.6475
35.0,105.0
38.0,-97.0
36.0,138.0
29.9532,36.9184
31.0,36.0
60.0,-95.0
-27.0,133.0
38.0,-97.0
39.5,-8.0
60.0,-95.0
25.0,17.0
10.0,8.0
60.0,100.0
31.106,-97.6475
38.0,-97.0
60.0,-95.0
38.0,-97.0
38.0,-97.0
42.1497,-74.9384
28.0,3.0
31.106,-97.6475
35.0,105.0
46.1956,6.14811
25.0,45.0
48.2,16.3667
60.0,100.0
29.3375,47.6581
38.0,-97.0
42.1497,-74.9384
31.106,-97.6475
61.385,-152.268
25.0,17.0
24.0,54.0
40.714,-74.0171
51.5,-0.116667
38.0,-97.0
31.1801,-91.8749
40.3736,-82.7755
52.2,0.116667
31.106,-97.6475
38.0,-97.0
42.1497,-74.9384
60.0,-95.0
25.2522,55.28
31.106,-97.6475
40.7656,-73.9541
52.2,0.116667
54.0,-2.0
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
60.0,-95.0
47.804,-122.003
-41.3,174.783
9.5,2.25
38.4199,-117.122
30.9,75.85
39.0,35.0
26.7161,88.4236
37.768,-78.2057
-40.85,172.133
47.3917,-121.571
45.25,-63.2833
35.0,105.0
37.0,127.5
38.8951,-77.0364
38.0,-97.0
38.8951,-77.0364
38.0,-97.0
60.0,-95.0
45.3167,-60.95
31.106,-97.6475
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
18.2359,-66.4838
60.0,-95.0
39.9523,-75.1638
36.17,-119.746
45.25,-63.2833
46.0,2.0
13.2613,145.096
40.8384,-76.098
38.0,-97.0
42.0083,-91.6441
38.8951,-77.0364
42.0046,-93.214
38.0,-97.0
44.6074,-69.3977
31.106,-97.6475
38.0,-97.0
60.0,-95.0
36.0,138.0
61.385,-152.268
1.28528,103.845
35.0,105.0
23.5,121.0
1.3667,103.8
38.0,-97.0
46.0,2.0
32.0,-5.0
38.0,-97.0
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
60.0,-95.0
46.0,2.0
38.8951,-77.0364
38.0,-97.0
38.8951,-77.0364
38.8951,-77.0364
39.0724,-76.7902
40.5773,-77.264
37.768,-78.2057
40.3736,-82.7755
38.468,-80.9696
37.669,-84.6514
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
47.4665,-121.75
47.3917,-121.571
38.8951,-77.0364
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.0,-97.0
38.8951,-77.0364
50.3167,-81.6333
45.5,-73.5833
42.2373,-71.5314
38.0,-97.0
34.9513,-92.3809
35.5376,-96.9247
31.1801,-91.8749
35.7449,-86.7489
31.106,-97.6475
37.669,-84.6514
40.3363,-89.0022
36.17,-119.746
39.8647,-86.2604
34.089,-95.953
42.3584,-71.0598
45.5,-73.5833
44.9429,-123.035
45.5235,-122.676
44.5672,-122.127
42.2437,-70.8287
44.0001,-120.501
38.0,-97.0
60.0,-95.0
51.8,-3.15
54.0,-2.0
38.0,-97.0
27.8333,-81.717
31.106,-97.6475
38.0,-97.0
60.0,-95.0
15.0,-86.5
-34.0,-64.0
-17.0,-65.0
19.0,-70.6667
-10.0,-55.0
39.5,-8.0
4.0,-72.0
15.5,-90.25
13.0,-85.0
38.0,-97.0
23.0,-102.0
-23.0,-58.0
10.0,-84.0
-2.0,-77.5
13.8333,-88.9167
-33.0,-56.0
-30.0,-71.0
-10.0,-76.0
9.0,-80.0
38.0,-97.0
42.1497,-74.9384
60.0,-95.0
36.0,138.0
32.7831,-96.8067
43.6667,-79.4167
34.0522,-118.244
51.5,-0.116667
54.0,-2.0
45.7326,-93.9196
56.0,10.0
38.8951,-77.0364
54.0,-2.0
38.8951,-77.0364
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.0,-97.0
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.0,-97.0
40.1884,-81.1965
40.3736,-82.7755
38.0,-97.0
31.106,-97.6475
38.8951,-77.0364
38.0,-97.0
38.0,-97.0
42.1497,-74.9384
60.0,-95.0
36.0,138.0
8.0,-66.0
38.0,-97.0
42.1059,-84.2483
43.3504,-84.5603
41.85,-87.6501
38.8951,-77.0364
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.0,-97.0
27.8333,-81.717
38.0,-97.0
45.7326,-93.9196
40.5773,-77.264
20.0,77.0
15.4,73.8667
38.0,-97.0
42.0083,-91.6441
38.8951,-77.0364
42.0046,-93.214
38.0,-97.0
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.0,-97.0
38.0,-97.0
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.0,-97.0
38.0,-97.0
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
41.85,-87.6501
2.5,112.5
20.0,77.0
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
53.0,-8.0
46.0,2.0
54.5,-6.5
-10.0,-55.0
54.0,-2.0
38.0,-97.0
39.0646,-105.327
38.8773,-77.0178
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
60.0,-95.0
31.106,-97.6475
38.0,-97.0
35.0884,-108.791
36.4039,-104.768
51.0,9.0
51.89,-8.42972
53.0,-8.0
34.8375,-106.237
40.0,-4.0
31.0,36.0
38.0,-97.0
39.7218,-76.8611
40.3478,-80.0148
49.4717,-2.62573
40.5773,-77.264
41.85,-87.6501
10.0,8.0
48.8667,2.33333
-33.8833,151.217
35.0,105.0
25.0,17.0
45.1667,15.5
1.3667,103.8
51.5,-0.116667
55.3333,3.0
38.0,-97.0
44.5672,-122.127
51.0,9.0
45.4871,-122.804
38.0,-97.0
37.7749,-122.419
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
38.0,-97.0
52.0,20.0
38.8951,-77.0364
38.8951,-77.0364
42.1497,-74.9384
31.5,34.75
38.0,-97.0
38.8951,-77.0364
38.0,-97.0
23.1167,113.25
35.0,105.0
39.9289,116.388
22.25,114.167
31.2222,121.458
22.2,111.117
54.0,-2.0
60.0,-95.0
25.5,51.25
15.0,-86.5
34.0078,71.5733
49.2167,-122.917
-10.0,-55.0
33.8997,70.1001
21.5,-80.0
8.0,-66.0
31.0,36.0
30.0,70.0
37.7749,-122.419
45.4167,-75.7
38.0,-97.0
38.0,-97.0
42.1497,-74.9384
51.5,-0.116667
8.0,-66.0
38.0,-97.0
23.5,121.0
1.3667,103.8
38.0,-97.0
42.1497,-74.9384
25.0,17.0
24.0,54.0
40.714,-74.0171
51.5,-0.116667
61.385,-152.268
-41.3,174.783
-45.5,170.333
38.0,-97.0
25.0,17.0
10.0,8.0
32.7831,-96.8067
38.0,-97.0
42.0083,-91.6441
38.8951,-77.0364
42.0046,-93.214
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
51.0,9.0
40.0,-4.0
42.8333,12.8333
38.0,-97.0
38.0,-97.0
22.25,114.167
33.7712,-111.388
31.106,-97.6475
30.7632,-98.4575
31.106,-97.6475
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
42.1497,-74.9384
38.8951,-77.0364
38.0,-97.0
25.0,17.0
10.0,8.0
52.5,5.75
39.7392,-104.985
61.385,-152.268
-10.0,-55.0
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
60.0,-95.0
50.6667,-120.333
42.7037,-76.6597
31.106,-97.6475
27.8333,-81.717
35.0,105.0
36.17,-119.746
40.7834,-73.9662
45.1667,15.5
45.25,-63.2833
23.5,121.0
54.0,-2.0
38.0,-97.0
38.9122,121.602
46.0,15.0
50.8,0.25
38.0,-97.0
38.8951,-77.0364
42.0046,-93.214
22.25,114.167
36.17,-119.746
35.7449,-86.7489
38.0,-97.0
42.1497,-74.9384
50.8333,4.33333
-29.0,24.0
54.0,-2.0
38.0,-97.0
38.0,-97.0
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
35.0,105.0
38.0,-97.0
38.0,-97.0
32.0,53.0
38.8951,-77.0364
38.8951,-77.0364
60.0,100.0
38.8951,-77.0364
38.8951,-77.0364
38.8951,-77.0364
38.0,-97.0
35.0,105.0
42.3584,-71.0598
42.3334,-71.0495
42.4215,-71.1176
42.3587,-71.0678
42.2373,-71.5314
38.0,-97.0
38.0,-97.0
38.0,-97.0
60.0,-95.0
56.7333,-111.383
52.5,5.75
51.0833,-114.083
60.0,-95.0
51.0,9.0
-27.0,133.0
52.0,20.0
51.5,-0.116667
1.3667,103.8
54.0,-2.0
38.0,-97.0
45.7326,-93.9196
32.9866,-83.6487
38.8951,-77.0364
38.0,-97.0
42.1497,-74.9384
51.5,-0.116667
8.0,-66.0
38.0,-97.0
42.1497,-74.9384
40.7487,-73.986
38.8951,-77.0364
38.8951,-77.0364
41.1289,-98.2883
38.8951,-77.0364
38.8951,-77.0364
55.7522,37.6156
60.0,-95.0
31.106,-97.6475
50.3527,30.955
50.4333,30.5167
